"TOWNCODE","PERIOD","AGE","CASE","POP"
"10010010","1995-1999","40-44",10,32472
"10010010","1995-1999","45-49",23,41258
"10010010","1995-1999","50-54",62,88393
"10010010","1995-1999","55-59",25,23420
"10010010","1995-1999","60-64",54,48553
"10010010","1995-1999","65-69",16,11045
"10010010","1995-1999","70-74",114,66560
"10010010","1995-1999","75-79",235,111817
"10010010","1995-1999","80-84",83,30718
"10010010","2000-2004","40-44",14,47262
"10010010","2000-2004","45-49",18,28559
"10010010","2000-2004","50-54",66,84921
"10010010","2000-2004","55-59",24,24324
"10010010","2000-2004","60-64",51,56269
"10010010","2000-2004","65-69",12,8877
"10010010","2000-2004","70-74",23,13931
"10010010","2000-2004","75-79",166,72033
"10010010","2000-2004","80-84",53,20071
"10010010","2005-2009","40-44",5,12510
"10010010","2005-2009","45-49",14,22820
"10010010","2005-2009","50-54",15,30156
"10010010","2005-2009","55-59",81,105514
"10010010","2005-2009","60-64",20,19511
"10010010","2005-2009","65-69",307,197693
"10010010","2005-2009","70-74",88,39321
"10010010","2005-2009","75-79",78,31971
"10010010","2005-2009","80-84",341,119146
"10010010","2010-2014","40-44",2,15847
"10010010","2010-2014","45-49",5,12848
"10010010","2010-2014","50-54",9,18806
"10010010","2010-2014","55-59",37,44452
"10010010","2010-2014","60-64",98,78185
"10010010","2010-2014","65-69",293,190561
"10010010","2010-2014","70-74",95,48346
"10010010","2010-2014","75-79",104,35079
"10010010","2010-2014","80-84",111,34006
"10010010","2015-2019","40-44",9,26550
"10010010","2015-2019","45-49",3,9104
"10010010","2015-2019","50-54",14,30989
"10010010","2015-2019","55-59",22,34636
"10010010","2015-2019","60-64",183,160040
"10010010","2015-2019","65-69",255,164987
"10010010","2015-2019","70-74",23,9614
"10010010","2015-2019","75-79",123,38011
"10010010","2015-2019","80-84",100,26489
"10010020","1995-1999","40-44",11,47842
"10010020","1995-1999","45-49",5,16034
"10010020","1995-1999","50-54",11,9642
"10010020","1995-1999","55-59",42,41380
"10010020","1995-1999","60-64",61,54205
"10010020","1995-1999","65-69",16,13284
"10010020","1995-1999","70-74",59,38077
"10010020","1995-1999","75-79",308,155393
"10010020","1995-1999","80-84",126,42886
"10010020","2000-2004","40-44",6,16237
"10010020","2000-2004","45-49",8,19494
"10010020","2000-2004","50-54",2,10526
"10010020","2000-2004","55-59",20,16963
"10010020","2000-2004","60-64",120,102834
"10010020","2000-2004","65-69",11,6844
"10010020","2000-2004","70-74",124,71826
"10010020","2000-2004","75-79",40,16613
"10010020","2000-2004","80-84",272,88117
"10010020","2005-2009","40-44",7,19839
"10010020","2005-2009","45-49",14,37337
"10010020","2005-2009","50-54",8,10653
"10010020","2005-2009","55-59",71,74607
"10010020","2005-2009","60-64",16,12009
"10010020","2005-2009","65-69",29,15126
"10010020","2005-2009","70-74",113,64290
"10010020","2005-2009","75-79",75,28710
"10010020","2005-2009","80-84",25,7384
"10010020","2010-2014","40-44",2,13635
"10010020","2010-2014","45-49",20,46016
"10010020","2010-2014","50-54",11,18249
"10010020","2010-2014","55-59",22,23865
"10010020","2010-2014","60-64",44,33591
"10010020","2010-2014","65-69",17,9682
"10010020","2010-2014","70-74",72,29653
"10010020","2010-2014","75-79",54,15375
"10010020","2010-2014","80-84",145,44174
"10010020","2015-2019","40-44",6,49625
"10010020","2015-2019","45-49",7,25017
"10010020","2015-2019","50-54",6,13687
"10010020","2015-2019","55-59",143,167070
"10010020","2015-2019","60-64",27,19692
"10010020","2015-2019","65-69",80,49131
"10010020","2015-2019","70-74",17,8126
"10010020","2015-2019","75-79",180,61377
"10010020","2015-2019","80-84",35,9851
"10010030","1995-1999","40-44",13,38042
"10010030","1995-1999","45-49",31,65869
