"TOWNCODE","PERIOD","AGE","CASE","POP"
"10010010","1995-1999","40-44",30,51078
"10010010","1995-1999","45-49",16,19463
"10010010","1995-1999","50-54",23,14765
"10010010","1995-1999","55-59",252,202978
"10010010","1995-1999","60-64",44,43208
"10010010","1995-1999","65-69",91,57218
"10010010","1995-1999","70-74",42,30191
"10010010","1995-1999","75-79",80,41929
"10010010","1995-1999","80-84",237,82528
"10010010","2000-2004","40-44",191,335617
"10010010","2000-2004","45-49",19,13024
"10010010","2000-2004","50-54",29,20710
"10010010","2000-2004","55-59",75,43765
"10010010","2000-2004","60-64",132,79219
"10010010","2000-2004","65-69",112,75743
"10010010","2000-2004","70-74",60,29192
"10010010","2000-2004","75-79",17,10527
"10010010","2000-2004","80-84",245,94278
"10010010","2005-2009","40-44",43,72608
"10010010","2005-2009","45-49",16,20808
"10010010","2005-2009","50-54",87,76749
"10010010","2005-2009","55-59",41,23276
"10010010","2005-2009","60-64",91,46321
"10010010","2005-2009","65-69",155,74538
"10010010","2005-2009","70-74",139,69698
"10010010","2005-2009","75-79",132,59896
"10010010","2005-2009","80-84",113,36844
"10010010","2010-2014","40-44",12,22383
"10010010","2010-2014","45-49",11,12632
"10010010","2010-2014","50-54",34,38266
"10010010","2010-2014","55-59",93,52732
"10010010","2010-2014","60-64",122,53253
"10010010","2010-2014","65-69",283,120548
"10010010","2010-2014","70-74",427,152257
"10010010","2010-2014","75-79",86,27137
"10010010","2010-2014","80-84",122,34415
"10010010","2015-2019","40-44",7,19792
"10010010","2015-2019","45-49",17,37518
"10010010","2015-2019","50-54",17,10620
"10010010","2015-2019","55-59",227,147555
"10010010","2015-2019","60-64",201,93593
"10010010","2015-2019","65-69",80,31475
"10010010","2015-2019","70-74",73,21495
"10010010","2015-2019","75-79",142,38031
"10010010","2015-2019","80-84",34,8574
"10010020","1995-1999","40-44",29,39770
"10010020","1995-1999","45-49",64,71428
"10010020","1995-1999","50-54",11,7279
"10010020","1995-1999","55-59",25,25161
"10010020","1995-1999","60-64",20,16526
"10010020","1995-1999","65-69",185,120666
"10010020","1995-1999","70-74",60,33730
"10010020","1995-1999","75-79",80,37610
"10010020","1995-1999","80-84",9,3220
"10010020","2000-2004","40-44",63,106588
"10010020","2000-2004","45-49",81,97030
"10010020","2000-2004","50-54",46,38958
"10010020","2000-2004","55-59",36,26753
"10010020","2000-2004","60-64",38,25729
"10010020","2000-2004","65-69",43,17936
"10010020","2000-2004","70-74",198,99479
"10010020","2000-2004","75-79",28,12404
"10010020","2000-2004","80-84",145,49576
"10010020","2005-2009","40-44",30,47393
"10010020","2005-2009","45-49",46,47147
"10010020","2005-2009","50-54",86,69668
"10010020","2005-2009","55-59",60,36069
"10010020","2005-2009","60-64",15,11693
"10010020","2005-2009","65-69",72,31429
"10010020","2005-2009","70-74",514,203209
"10010020","2005-2009","75-79",183,67637
"10010020","2005-2009","80-84",55,16888
"10010020","2010-2014","40-44",23,35738
"10010020","2010-2014","45-49",20,26312
"10010020","2010-2014","50-54",30,28598
"10010020","2010-2014","55-59",20,14995
"10010020","2010-2014","60-64",109,56324
"10010020","2010-2014","65-69",100,36783
"10010020","2010-2014","70-74",876,323108
"10010020","2010-2014","75-79",152,50719
"10010020","2010-2014","80-84",136,38549
"10010020","2015-2019","40-44",16,29919
"10010020","2015-2019","45-49",3,7681
"10010020","2015-2019","50-54",22,28604
"10010020","2015-2019","55-59",96,59120
"10010020","2015-2019","60-64",13,7544
"10010020","2015-2019","65-69",30,9234
"10010020","2015-2019","70-74",129,36770
"10010020","2015-2019","75-79",469,122722
"10010020","2015-2019","80-84",471,116251
"10010030","1995-1999","40-44",20,27433
"10010030","1995-1999","45-49",17,21439
"10010030","1995-1999","50-54",44,35678
"10010030","1995-1999","55-59",89,78358
"10010030","1995-1999","60-64",19,13481
"10010030","1995-1999","65-69",26,12404
"10010030","1995-1999","70-74",82,42352
"10010030","1995-1999","75-79",164,57728
"10010030","1995-1999","80-84",76,23961
"10010030","2000-2004","40-44",42,84113
"10010030","2000-2004","45-49",36,41678
"10010030","2000-2004","50-54",22,10569
"10010030","2000-2004","55-59",355,217815
"10010030","2000-2004","60-64",38,23147
"10010030","2000-2004","65-69",21,10867
"10010030","2000-2004","70-74",345,161706
"10010030","2000-2004","75-79",76,33778
"10010030","2000-2004","80-84",262,74909
"10010030","2005-2009","40-44",28,52136
"10010030","2005-2009","45-49",75,94969
"10010030","2005-2009","50-54",10,14633
"10010030","2005-2009","55-59",30,15154
"10010030","2005-2009","60-64",32,15681
"10010030","2005-2009","65-69",200,96191
"10010030","2005-2009","70-74",37,13728
"10010030","2005-2009","75-79",201,66685
"10010030","2005-2009","80-84",570,188663
"10010030","2010-2014","40-44",21,42726
"10010030","2010-2014","45-49",9,12848
"10010030","2010-2014","50-54",42,55511
"10010030","2010-2014","55-59",95,71469
"10010030","2010-2014","60-64",33,14950
"10010030","2010-2014","65-69",101,29739
"10010030","2010-2014","70-74",532,168485
"10010030","2010-2014","75-79",194,64532
"10010030","2010-2014","80-84",310,81552
"10010030","2015-2019","40-44",58,142408
"10010030","2015-2019","45-49",89,169611
"10010030","2015-2019","50-54",24,23565
"10010030","2015-2019","55-59",13,13773
"10010030","2015-2019","60-64",60,24595
"10010030","2015-2019","65-69",49,21543
"10010030","2015-2019","70-74",155,39678
"10010030","2015-2019","75-79",173,40735
"10010030","2015-2019","80-84",51,12162
"10010040","1995-1999","40-44",18,33557
"10010040","1995-1999","45-49",28,32357
"10010040","1995-1999","50-54",11,26707
"10010040","1995-1999","55-59",86,99717
"10010040","1995-1999","60-64",20,21212
"10010040","1995-1999","65-69",99,75504
"10010040","1995-1999","70-74",50,33294
"10010040","1995-1999","75-79",118,59125
"10010040","1995-1999","80-84",69,28277
"10010040","2000-2004","40-44",21,35274
"10010040","2000-2004","45-49",22,36032
"10010040","2000-2004","50-54",67,122341
"10010040","2000-2004","55-59",29,36001
"10010040","2000-2004","60-64",95,85564
"10010040","2000-2004","65-69",48,42445
"10010040","2000-2004","70-74",14,11135
"10010040","2000-2004","75-79",58,27261
"10010040","2000-2004","80-84",128,38558
"10010040","2005-2009","40-44",17,22419
"10010040","2005-2009","45-49",64,85810
"10010040","2005-2009","50-54",30,30402
"10010040","2005-2009","55-59",17,13540
"10010040","2005-2009","60-64",95,92046
"10010040","2005-2009","65-69",15,13288
"10010040","2005-2009","70-74",35,21970
"10010040","2005-2009","75-79",106,49449
"10010040","2005-2009","80-84",140,49316
"10010040","2010-2014","40-44",23,29937
"10010040","2010-2014","45-49",59,65798
"10010040","2010-2014","50-54",9,6152
"10010040","2010-2014","55-59",75,68914
"10010040","2010-2014","60-64",16,12257
